gene,rank,tissue
CLIP2,74,Corpus Callosum
CCDC88A,75,Corpus Callosum
BAZ2B,76,Corpus Callosum
PDE8A,77,Corpus Callosum
INSR,78,Corpus Callosum
TJP1,79,Corpus Callosum
NCKAP5,80,Corpus Callosum
UNC5C,81,Corpus Callosum
APBB2,82,Corpus Callosum
ZNF536,83,Corpus Callosum
PXK,84,Corpus Callosum
SSH2,85,Corpus Callosum
DLC1,86,Corpus Callosum
NCAM2,87,Corpus Callosum
ANK3,88,Corpus Callosum
DPYD,89,Corpus Callosum
SRRM2,90,Corpus Callosum
C10ORF90,91,Corpus Callosum
GRID1,92,Corpus Callosum
DOCK4,93,Corpus Callosum
SPTBN1,94,Corpus Callosum
CLASP2,95,Corpus Callosum
TCF12,96,Corpus Callosum
DSCAM,97,Corpus Callosum
FNBP1,98,Corpus Callosum
VCAN,99,Corpus Callosum
PWRN1,100,Corpus Callosum
MALAT1,1,Cuneus
PCDH9,2,Cuneus
IL1RAPL1,3,Cuneus
PPP2R2B,4,Cuneus
QKI,5,Cuneus
DPP10,6,Cuneus
CTNNA3,7,Cuneus
RNF220,8,Cuneus
PTPRG,9,Cuneus
DLG2,10,Cuneus
RORA,11,Cuneus
DST,12,Cuneus
MAGI2,13,Cuneus
NEAT1,14,Cuneus
LSAMP,15,Cuneus
DLC1,16,Cuneus
MACF1,17,Cuneus
XIST,18,Cuneus
ST6GALNAC3,19,Cuneus
SLC1A2,20,Cuneus
FMNL2,21,Cuneus
NRXN3,22,Cuneus
ST18,23,Cuneus
CTNNA2,24,Cuneus
ZBTB20,25,Cuneus
SLC24A2,26,Cuneus
PDE4B,27,Cuneus
NPAS3,28,Cuneus
LRP1B,29,Cuneus
WWOX,30,Cuneus
SLC44A1,31,Cuneus
CADM2,32,Cuneus
PITPNC1,33,Cuneus
MT-CO3,34,Cuneus
NTM,35,Cuneus
NRXN1,36,Cuneus
LRMDA,37,Cuneus
LAMA2,38,Cuneus
MOBP,39,Cuneus
NKAIN2,40,Cuneus
GPC5,41,Cuneus
ELMO1,42,Cuneus
ATP10A,43,Cuneus
SIK3,44,Cuneus
FLT1,45,Cuneus
MT-ND3,46,Cuneus
MT-ND4,47,Cuneus
PLXDC2,48,Cuneus
NRG3,49,Cuneus
PTPRD,50,Cuneus
FRMD4A,51,Cuneus
RBMS3,52,Cuneus
FRMD5,53,Cuneus
MT-CO2,54,Cuneus
GPM6A,55,Cuneus
DOCK4,56,Cuneus
PDE4D,57,Cuneus
CALD1,58,Cuneus
DSCAM,59,Cuneus
HSP90AA1,60,Cuneus
MT-ATP6,61,Cuneus
PIP4K2A,62,Cuneus
FTX,63,Cuneus
PRKG1,64,Cuneus
SYNE1,65,Cuneus
SORBS1,66,Cuneus
KCNIP4,67,Cuneus
TRIM2,68,Cuneus
SGIP1,69,Cuneus
MAN2A1,70,Cuneus
ARL15,71,Cuneus
RBFOX1,72,Cuneus
KAZN,73,Cuneus
PLCL1,74,Cuneus
EBF1,75,Cuneus
AFF3,76,Cuneus
MIR99AHG,77,Cuneus
DNM3,78,Cuneus
MBP,79,Cuneus
AUTS2,80,Cuneus
MT-CO1,81,Cuneus
THSD4,82,Cuneus
ADGRB3,83,Cuneus
MAP7,84,Cuneus
SLC7A14-AS1,85,Cuneus
AGAP1,86,Cuneus
MECOM,87,Cuneus
CTNND2,88,Cuneus
DOCK10,89,Cuneus
TMTC2,90,Cuneus
LHFPL6,91,Cuneus
LRRC4C,92,Cuneus
TCF12,93,Cuneus
LDB2,94,Cuneus
SLC5A11,95,Cuneus
NCAM2,96,Cuneus
MSI2,97,Cuneus
APBB2,98,Cuneus
SLC6A1,99,Cuneus
SOX5,100,Cuneus
MALAT1,1,Dorsolateral Prefrontal Cortex
PCDH9,2,Dorsolateral Prefrontal Cortex
IL1RAPL1,3,Dorsolateral Prefrontal Cortex
QKI,4,Dorsolateral Prefrontal Cortex
NRXN3,5,Dorsolateral Prefrontal Cortex
CTNNA3,6,Dorsolateral Prefrontal Cortex
RNF220,7,Dorsolateral Prefrontal Cortex
DLG2,8,Dorsolateral Prefrontal Cortex
DST,9,Dorsolateral Prefrontal Cortex
PPP2R2B,10,Dorsolateral Prefrontal Cortex
ST18,11,Dorsolateral Prefrontal Cortex
MAGI2,12,Dorsolateral Prefrontal Cortex
PDE4B,13,Dorsolateral Prefrontal Cortex
FMNL2,14,Dorsolateral Prefrontal Cortex
SLC24A2,15,Dorsolateral Prefrontal Cortex
CADM2,16,Dorsolateral Prefrontal Cortex
SLC44A1,17,Dorsolateral Prefrontal Cortex
NKAIN2,18,Dorsolateral Prefrontal Cortex
PTPRD,19,Dorsolateral Prefrontal Cortex
FRMD5,20,Dorsolateral Prefrontal Cortex
MACF1,21,Dorsolateral Prefrontal Cortex
LSAMP,22,Dorsolateral Prefrontal Cortex
SIK3,23,Dorsolateral Prefrontal Cortex
ANK3,24,Dorsolateral Prefrontal Cortex
TRIM2,25,Dorsolateral Prefrontal Cortex
ELMO1,26,Dorsolateral Prefrontal Cortex
MBP,27,Dorsolateral Prefrontal Cortex
PHLPP1,28,Dorsolateral Prefrontal Cortex
MOBP,29,Dorsolateral Prefrontal Cortex
AGAP1,30,Dorsolateral Prefrontal Cortex
PLCL1,31,Dorsolateral Prefrontal Cortex
ZBTB20,32,Dorsolateral Prefrontal Cortex
UNC5C,33,Dorsolateral Prefrontal Cortex
TMTC2,34,Dorsolateral Prefrontal Cortex
MAP7,35,Dorsolateral Prefrontal Cortex
DNM3,36,Dorsolateral Prefrontal Cortex
NTM,37,Dorsolateral Prefrontal Cortex
NPAS3,38,Dorsolateral Prefrontal Cortex
NCAM2,39,Dorsolateral Prefrontal Cortex
DSCAM,40,Dorsolateral Prefrontal Cortex
LRP1B,41,Dorsolateral Prefrontal Cortex
ATP10A,42,Dorsolateral Prefrontal Cortex
SLC1A2,43,Dorsolateral Prefrontal Cortex
DOCK10,44,Dorsolateral Prefrontal Cortex
PWRN1,45,Dorsolateral Prefrontal Cortex
PIP4K2A,46,Dorsolateral Prefrontal Cortex
NRXN1,47,Dorsolateral Prefrontal Cortex
SLC7A14-AS1,48,Dorsolateral Prefrontal Cortex
SLC5A11,49,Dorsolateral Prefrontal Cortex
FRMD4B,50,Dorsolateral Prefrontal Cortex
NEAT1,51,Dorsolateral Prefrontal Cortex
NCKAP5,52,Dorsolateral Prefrontal Cortex
MAN2A1,53,Dorsolateral Prefrontal Cortex
AUTS2,54,Dorsolateral Prefrontal Cortex
ANK2,55,Dorsolateral Prefrontal Cortex
LUC7L3,56,Dorsolateral Prefrontal Cortex
ZEB2,57,Dorsolateral Prefrontal Cortex
EDIL3,58,Dorsolateral Prefrontal Cortex
TTLL7,59,Dorsolateral Prefrontal Cortex
TCF12,60,Dorsolateral Prefrontal Cortex
TNR,61,Dorsolateral Prefrontal Cortex
PTPRG,62,Dorsolateral Prefrontal Cortex
LINC00486,63,Dorsolateral Prefrontal Cortex
CTNNA2,64,Dorsolateral Prefrontal Cortex
RBFOX1,65,Dorsolateral Prefrontal Cortex
MAP4K4,66,Dorsolateral Prefrontal Cortex
NLGN1,67,Dorsolateral Prefrontal Cortex
RORA,68,Dorsolateral Prefrontal Cortex
PALM2AKAP2,69,Dorsolateral Prefrontal Cortex
KCNIP4,70,Dorsolateral Prefrontal Cortex
NCAM1,71,Dorsolateral Prefrontal Cortex
ADGRB3,72,Dorsolateral Prefrontal Cortex
DPYD,73,Dorsolateral Prefrontal Cortex
SHTN1,74,Dorsolateral Prefrontal Cortex
LRRC4C,75,Dorsolateral Prefrontal Cortex
GPM6A,76,Dorsolateral Prefrontal Cortex
POLR2F,77,Dorsolateral Prefrontal Cortex
PDE8A,78,Dorsolateral Prefrontal Cortex
MARCHF1,79,Dorsolateral Prefrontal Cortex
DIP2B,80,Dorsolateral Prefrontal Cortex
SEPTIN7,81,Dorsolateral Prefrontal Cortex
DOCK4,82,Dorsolateral Prefrontal Cortex
DLG1,83,Dorsolateral Prefrontal Cortex
HIP1,84,Dorsolateral Prefrontal Cortex
SPOCK3,85,Dorsolateral Prefrontal Cortex
ARHGAP21,86,Dorsolateral Prefrontal Cortex
ANKS1B,87,Dorsolateral Prefrontal Cortex
ARGLU1,88,Dorsolateral Prefrontal Cortex
RBM25,89,Dorsolateral Prefrontal Cortex
WWOX,90,Dorsolateral Prefrontal Cortex
LHFPL3,91,Dorsolateral Prefrontal Cortex
TJP1,92,Dorsolateral Prefrontal Cortex
LIMCH1,93,Dorsolateral Prefrontal Cortex
ERBB4,94,Dorsolateral Prefrontal Cortex
PLEKHH1,95,Dorsolateral Prefrontal Cortex
ZNF536,96,Dorsolateral Prefrontal Cortex
PLXDC2,97,Dorsolateral Prefrontal Cortex
DPP10,98,Dorsolateral Prefrontal Cortex
SPOCK1,99,Dorsolateral Prefrontal Cortex
CSMD1,100,Dorsolateral Prefrontal Cortex
MALAT1,1,Entorhinal Cortex
PCDH9,2,Entorhinal Cortex
DST,3,Entorhinal Cortex
MACF1,4,Entorhinal Cortex
IL1RAPL1,5,Entorhinal Cortex
RNF220,6,Entorhinal Cortex
DLG2,7,Entorhinal Cortex
DPP10,8,Entorhinal Cortex
HSP90AA1,9,Entorhinal Cortex
FRMD4A,10,Entorhinal Cortex
DSCAM,11,Entorhinal Cortex
NRXN3,12,Entorhinal Cortex
PPP2R2B,13,Entorhinal Cortex
PTPRG,14,Entorhinal Cortex
CTNNA3,15,Entorhinal Cortex
TRIM2,16,Entorhinal Cortex
QKI,17,Entorhinal Cortex
SYNE1,18,Entorhinal Cortex
CSMD1,19,Entorhinal Cortex
TNR,20,Entorhinal Cortex
KCNIP4,21,Entorhinal Cortex
MAGI2,22,Entorhinal Cortex
FMNL2,23,Entorhinal Cortex
LRP1B,24,Entorhinal Cortex
LUC7L3,25,Entorhinal Cortex
FLT1,26,Entorhinal Cortex
RORA,27,Entorhinal Cortex
SLC44A1,28,Entorhinal Cortex
LHFPL3,29,Entorhinal Cortex
OPCML,30,Entorhinal Cortex
ARGLU1,31,Entorhinal Cortex
ANKS1B,32,Entorhinal Cortex
SLC24A2,33,Entorhinal Cortex
LRRC4C,34,Entorhinal Cortex
SLC6A1,35,Entorhinal Cortex
ST18,36,Entorhinal Cortex
CALD1,37,Entorhinal Cortex
NTM,38,Entorhinal Cortex
LSAMP,39,Entorhinal Cortex
RBM25,40,Entorhinal Cortex
KAZN,41,Entorhinal Cortex
FRMD4B,42,Entorhinal Cortex
DOCK4,43,Entorhinal Cortex
PLXDC2,44,Entorhinal Cortex
VCAN,45,Entorhinal Cortex
ELMO1,46,Entorhinal Cortex
DOCK10,47,Entorhinal Cortex
PDE4B,48,Entorhinal Cortex
DLC1,49,Entorhinal Cortex
MAP7,50,Entorhinal Cortex
LINC00486,51,Entorhinal Cortex
AGAP1,52,Entorhinal Cortex
SLC39A10,53,Entorhinal Cortex
FRMD5,54,Entorhinal Cortex
PRRC2C,55,Entorhinal Cortex
ZBTB20,56,Entorhinal Cortex
ATP10A,57,Entorhinal Cortex
STOX2,58,Entorhinal Cortex
DPP6,59,Entorhinal Cortex
CADM2,60,Entorhinal Cortex
PNISR,61,Entorhinal Cortex
CFAP46,62,Entorhinal Cortex
ANK3,63,Entorhinal Cortex
NEAT1,64,Entorhinal Cortex
ATP1A2,65,Entorhinal Cortex
PTPRD,66,Entorhinal Cortex
NRXN1,67,Entorhinal Cortex
SIK3,68,Entorhinal Cortex
NKAIN2,69,Entorhinal Cortex
DNAH9,70,Entorhinal Cortex
NPAS3,71,Entorhinal Cortex
WWOX,72,Entorhinal Cortex
UTRN,73,Entorhinal Cortex
CTNNA2,74,Entorhinal Cortex
SRRM2,75,Entorhinal Cortex
MOBP,76,Entorhinal Cortex
HIP1,77,Entorhinal Cortex
CEMIP,78,Entorhinal Cortex
NCKAP5,79,Entorhinal Cortex
DNM3,80,Entorhinal Cortex
PITPNC1,81,Entorhinal Cortex
PHLPP1,82,Entorhinal Cortex
ADARB2,83,Entorhinal Cortex
SPTBN1,84,Entorhinal Cortex
SORBS1,85,Entorhinal Cortex
MT-CO2,86,Entorhinal Cortex
XYLT1,87,Entorhinal Cortex
INSR,88,Entorhinal Cortex
LRMDA,89,Entorhinal Cortex
LINC00632,90,Entorhinal Cortex
MBP,91,Entorhinal Cortex
CFAP299,92,Entorhinal Cortex
FTX,93,Entorhinal Cortex
PCDH15,94,Entorhinal Cortex
NCAM1,95,Entorhinal Cortex
ARHGAP21,96,Entorhinal Cortex
APBB2,97,Entorhinal Cortex
MSI2,98,Entorhinal Cortex
ST6GALNAC3,99,Entorhinal Cortex
TMTC2,100,Entorhinal Cortex
MALAT1,1,Fornix
PCDH9,2,Fornix
IL1RAPL1,3,Fornix
DST,4,Fornix
RNF220,5,Fornix
QKI,6,Fornix
CTNNA3,7,Fornix
LINC00486,8,Fornix
FMNL2,9,Fornix
DLG2,10,Fornix
MAP1B,11,Fornix
RBFOX1,12,Fornix
ST18,13,Fornix
NTM,14,Fornix
MACF1,15,Fornix
RBM25,16,Fornix
MAGI2,17,Fornix
PRRC2C,18,Fornix
SLC5A11,19,Fornix
SLC44A1,20,Fornix
PDE4B,21,Fornix
ARGLU1,22,Fornix
TRIM2,23,Fornix
NKAIN2,24,Fornix
LUC7L3,25,Fornix
NEAT1,26,Fornix
MAN2A1,27,Fornix
FRMD5,28,Fornix
PPP2R2B,29,Fornix
SLC24A2,30,Fornix
MAP7,31,Fornix
MOBP,32,Fornix
ELMO1,33,Fornix
GNG7,34,Fornix
SRRM1,35,Fornix
SIK3,36,Fornix
PIP4K2A,37,Fornix
NRXN3,38,Fornix
PTPRD,39,Fornix
POLR2F,40,Fornix
ARHGAP21,41,Fornix
MBP,42,Fornix
PHLPP1,43,Fornix
TMTC2,44,Fornix
HSP90AA1,45,Fornix
SHTN1,46,Fornix
DNM3,47,Fornix
SLC26A3,48,Fornix
CCDC88A,49,Fornix
SEPTIN7,50,Fornix
CALD1,51,Fornix
ANK2,52,Fornix
AKAP12,53,Fornix
PLCL1,54,Fornix
SGIP1,55,Fornix
ZEB2,56,Fornix
SRCIN1,57,Fornix
MAP4K4,58,Fornix
ZBTB20,59,Fornix
DPYD,60,Fornix
TMEM165,61,Fornix
DOCK10,62,Fornix
TNKS,63,Fornix
CLASP2,64,Fornix
NCAM1,65,Fornix
NCAM2,66,Fornix
CNDP1,67,Fornix
RERE,68,Fornix
KIRREL3,69,Fornix
PALM2AKAP2,70,Fornix
GRID1,71,Fornix
PLEKHH1,72,Fornix
UNC5C,73,Fornix
ENSG00000227088,74,Fornix
AUTS2,75,Fornix
FLT1,76,Fornix
TNR,77,Fornix
FUT8,78,Fornix
BAZ2B,79,Fornix
TJP1,80,Fornix
DIP2B,81,Fornix
DLC1,82,Fornix
ERBIN,83,Fornix
ZSWIM6,84,Fornix
ADGRB3,85,Fornix
FRMD4B,86,Fornix
DPP10,87,Fornix
ZNF638,88,Fornix
AKAP6,89,Fornix
AGAP1,90,Fornix
PDE1C,91,Fornix
LMCD1-AS1,92,Fornix
DSCAM,93,Fornix
SRRM2,94,Fornix
NPAS3,95,Fornix
PITPNC1,96,Fornix
ZNF536,97,Fornix
LIMCH1,98,Fornix
FRYL,99,Fornix
PDE8A,100,Fornix
MALAT1,1,Fusiform Gyrus
PCDH9,2,Fusiform Gyrus
FRMD4A,3,Fusiform Gyrus
IL1RAPL1,4,Fusiform Gyrus
DSCAM,5,Fusiform Gyrus
DLG2,6,Fusiform Gyrus
KCNIP4,7,Fusiform Gyrus
NRXN1,8,Fusiform Gyrus
MACF1,9,Fusiform Gyrus
LSAMP,10,Fusiform Gyrus
RNF220,11,Fusiform Gyrus
CSMD1,12,Fusiform Gyrus
QKI,13,Fusiform Gyrus
LRP1B,14,Fusiform Gyrus
LRRC4C,15,Fusiform Gyrus
KCNMA1,16,Fusiform Gyrus
CTNNA3,17,Fusiform Gyrus
PPP2R2B,18,Fusiform Gyrus
LINC00486,19,Fusiform Gyrus
LHFPL3,20,Fusiform Gyrus
DST,21,Fusiform Gyrus
NRXN3,22,Fusiform Gyrus
TNR,23,Fusiform Gyrus
OPCML,24,Fusiform Gyrus
PTPRG,25,Fusiform Gyrus
CADM2,26,Fusiform Gyrus
NEAT1,27,Fusiform Gyrus
RORA,28,Fusiform Gyrus
FLT1,29,Fusiform Gyrus
PDE4B,30,Fusiform Gyrus
DPP10,31,Fusiform Gyrus
PLXDC2,32,Fusiform Gyrus
MAGI2,33,Fusiform Gyrus
DOCK4,34,Fusiform Gyrus
NTM,35,Fusiform Gyrus
CTNNA2,36,Fusiform Gyrus
ANKS1B,37,Fusiform Gyrus
FOXP1,38,Fusiform Gyrus
TRIM2,39,Fusiform Gyrus
PITPNC1,40,Fusiform Gyrus
XYLT1,41,Fusiform Gyrus
ADGRB3,42,Fusiform Gyrus
GPC5,43,Fusiform Gyrus
AGAP1,44,Fusiform Gyrus
KAZN,45,Fusiform Gyrus
PCDH15,46,Fusiform Gyrus
NLGN1,47,Fusiform Gyrus
SLC44A1,48,Fusiform Gyrus
NPAS3,49,Fusiform Gyrus
DPP6,50,Fusiform Gyrus
SIK3,51,Fusiform Gyrus
ELMO1,52,Fusiform Gyrus
FMNL2,53,Fusiform Gyrus
DLC1,54,Fusiform Gyrus
FRMD5,55,Fusiform Gyrus
ZBTB20,56,Fusiform Gyrus
SLC24A2,57,Fusiform Gyrus
ST18,58,Fusiform Gyrus
SORBS1,59,Fusiform Gyrus
LRMDA,60,Fusiform Gyrus
GRID2,61,Fusiform Gyrus
SLC6A1,62,Fusiform Gyrus
PTGDS,63,Fusiform Gyrus
ANK3,64,Fusiform Gyrus
RBFOX1,65,Fusiform Gyrus
SLC1A2,66,Fusiform Gyrus
GPM6A,67,Fusiform Gyrus
ST6GALNAC3,68,Fusiform Gyrus
ATP10A,69,Fusiform Gyrus
CTNND2,70,Fusiform Gyrus
PTPRD,71,Fusiform Gyrus
RBM25,72,Fusiform Gyrus
SLC39A10,73,Fusiform Gyrus
CEMIP,74,Fusiform Gyrus
LUC7L3,75,Fusiform Gyrus
NKAIN2,76,Fusiform Gyrus
AUTS2,77,Fusiform Gyrus
DNM3,78,Fusiform Gyrus
LRRTM4,79,Fusiform Gyrus
CALD1,80,Fusiform Gyrus
ARGLU1,81,Fusiform Gyrus
HSP90AA1,82,Fusiform Gyrus
ZSWIM6,83,Fusiform Gyrus
SLC4A4,84,Fusiform Gyrus
ERBB4,85,Fusiform Gyrus
SYNE1,86,Fusiform Gyrus
NRG3,87,Fusiform Gyrus
ADGRL3,88,Fusiform Gyrus
MMD2,89,Fusiform Gyrus
ANK2,90,Fusiform Gyrus
DOCK10,91,Fusiform Gyrus
NCAM2,92,Fusiform Gyrus
PHLPP1,93,Fusiform Gyrus
ADARB2,94,Fusiform Gyrus
WWOX,95,Fusiform Gyrus
ITPR2,96,Fusiform Gyrus
SEZ6L,97,Fusiform Gyrus
FRMD4B,98,Fusiform Gyrus
HIP1,99,Fusiform Gyrus
ATP1A2,100,Fusiform Gyrus
MALAT1,1,Hippocampus
HTR2C,2,Hippocampus
TRPM3,3,Hippocampus
DPP10,4,Hippocampus
PCDH9,5,Hippocampus
SYNE1,6,Hippocampus
CFAP46,7,Hippocampus
MT-CO2,8,Hippocampus
DSCAM,9,Hippocampus
HSP90AA1,10,Hippocampus
LSAMP,11,Hippocampus
PNISR,12,Hippocampus
STOX2,13,Hippocampus
PTPRG,14,Hippocampus
IL1RAPL1,15,Hippocampus
MACF1,16,Hippocampus
LRP1B,17,Hippocampus
NEAT1,18,Hippocampus
CRPPA,19,Hippocampus
LINC00486,20,Hippocampus
LUC7L3,21,Hippocampus
DPP6,22,Hippocampus
KAZN,23,Hippocampus
PITPNC1,24,Hippocampus
QKI,25,Hippocampus
MT-ND4,26,Hippocampus
MSI2,27,Hippocampus
MT-CO3,28,Hippocampus
NRXN1,29,Hippocampus
GRM8,30,Hippocampus
GPM6A,31,Hippocampus
DST,32,Hippocampus
MT-CO1,33,Hippocampus
FRMD4A,34,Hippocampus
NWD1,35,Hippocampus
RBM47,36,Hippocampus
PDZD2,37,Hippocampus
RORA,38,Hippocampus
TNR,39,Hippocampus
PPP2R2B,40,Hippocampus
DLG2,41,Hippocampus
RBM25,42,Hippocampus
DYNC2I1,43,Hippocampus
KCNIP4,44,Hippocampus
AGBL4,45,Hippocampus
RNF220,46,Hippocampus
NPAS3,47,Hippocampus
NRG3,48,Hippocampus
ERBB4,49,Hippocampus
WWOX,50,Hippocampus
MAGI2,51,Hippocampus
PLXDC2,52,Hippocampus
CADM2,53,Hippocampus
CSMD1,54,Hippocampus
CTNNA2,55,Hippocampus
SYNE2,56,Hippocampus
MIR99AHG,57,Hippocampus
NLGN1,58,Hippocampus
CTNNA3,59,Hippocampus
SLC44A1,60,Hippocampus
CFAP54,61,Hippocampus
OPCML,62,Hippocampus
FLT1,63,Hippocampus
DNAH9,64,Hippocampus
LRRC4C,65,Hippocampus
ZBTB20,66,Hippocampus
RBFOX1,67,Hippocampus
DOCK4,68,Hippocampus
EIF4G3,69,Hippocampus
FMNL2,70,Hippocampus
NTM,71,Hippocampus
RPGR,72,Hippocampus
SH3D19,73,Hippocampus
ATP10A,74,Hippocampus
PRKG1,75,Hippocampus
ENSG00000258312,76,Hippocampus
NRXN3,77,Hippocampus
ARGLU1,78,Hippocampus
SGIP1,79,Hippocampus
ADGRV1,80,Hippocampus
SORBS1,81,Hippocampus
LHFPL3,82,Hippocampus
MAPK10,83,Hippocampus
PRRC2C,84,Hippocampus
TSC22D1,85,Hippocampus
SIK3,86,Hippocampus
GNG7,87,Hippocampus
HDAC9,88,Hippocampus
TNRC6A,89,Hippocampus
TRIM2,90,Hippocampus
SRRM2,91,Hippocampus
GPC5,92,Hippocampus
SHANK2,93,Hippocampus
ADGRB3,94,Hippocampus
CFAP299,95,Hippocampus
LRMDA,96,Hippocampus
TENM2,97,Hippocampus
ADGRL3,98,Hippocampus
LAMA2,99,Hippocampus
JMJD1C,100,Hippocampus
MALAT1,1,Inferior Frontal Gyrus
PCDH9,2,Inferior Frontal Gyrus
IL1RAPL1,3,Inferior Frontal Gyrus
PPP2R2B,4,Inferior Frontal Gyrus
CTNNA3,5,Inferior Frontal Gyrus
QKI,6,Inferior Frontal Gyrus
RNF220,7,Inferior Frontal Gyrus
DLG2,8,Inferior Frontal Gyrus
MAGI2,9,Inferior Frontal Gyrus
NRXN3,10,Inferior Frontal Gyrus
ST18,11,Inferior Frontal Gyrus
PDE4B,12,Inferior Frontal Gyrus
FMNL2,13,Inferior Frontal Gyrus
PTPRG,14,Inferior Frontal Gyrus
SLC24A2,15,Inferior Frontal Gyrus
SLC44A1,16,Inferior Frontal Gyrus
DST,17,Inferior Frontal Gyrus
MOBP,18,Inferior Frontal Gyrus
XIST,19,Inferior Frontal Gyrus
SLC7A14-AS1,20,Inferior Frontal Gyrus
PTPRD,21,Inferior Frontal Gyrus
SIK3,22,Inferior Frontal Gyrus
ZBTB20,23,Inferior Frontal Gyrus
NKAIN2,24,Inferior Frontal Gyrus
FRMD5,25,Inferior Frontal Gyrus
CADM2,26,Inferior Frontal Gyrus
ELMO1,27,Inferior Frontal Gyrus
TRIM2,28,Inferior Frontal Gyrus
PIP4K2A,29,Inferior Frontal Gyrus
LSAMP,30,Inferior Frontal Gyrus
RORA,31,Inferior Frontal Gyrus
DLC1,32,Inferior Frontal Gyrus
ST6GALNAC3,33,Inferior Frontal Gyrus
NTM,34,Inferior Frontal Gyrus
ATP10A,35,Inferior Frontal Gyrus
MAP7,36,Inferior Frontal Gyrus
DSCAM,37,Inferior Frontal Gyrus
MACF1,38,Inferior Frontal Gyrus
MAN2A1,39,Inferior Frontal Gyrus
DNM3,40,Inferior Frontal Gyrus
PLCL1,41,Inferior Frontal Gyrus
DOCK10,42,Inferior Frontal Gyrus
DPYD,43,Inferior Frontal Gyrus
TMTC2,44,Inferior Frontal Gyrus
NEAT1,45,Inferior Frontal Gyrus
LRP1B,46,Inferior Frontal Gyrus
MBP,47,Inferior Frontal Gyrus
PHLPP1,48,Inferior Frontal Gyrus
SLC5A11,49,Inferior Frontal Gyrus
NPAS3,50,Inferior Frontal Gyrus
NCAM2,51,Inferior Frontal Gyrus
FRMD4B,52,Inferior Frontal Gyrus
RBFOX1,53,Inferior Frontal Gyrus
AGAP1,54,Inferior Frontal Gyrus
PLXDC2,55,Inferior Frontal Gyrus
LAMA2,56,Inferior Frontal Gyrus
AUTS2,57,Inferior Frontal Gyrus
UNC5C,58,Inferior Frontal Gyrus
DOCK4,59,Inferior Frontal Gyrus
ANK2,60,Inferior Frontal Gyrus
TCF12,61,Inferior Frontal Gyrus
ADGRB3,62,Inferior Frontal Gyrus
KCNIP4,63,Inferior Frontal Gyrus
FTX,64,Inferior Frontal Gyrus
ANK3,65,Inferior Frontal Gyrus
DPP10,66,Inferior Frontal Gyrus
EDIL3,67,Inferior Frontal Gyrus
LUC7L3,68,Inferior Frontal Gyrus
FLT1,69,Inferior Frontal Gyrus
PALM2AKAP2,70,Inferior Frontal Gyrus
NRXN1,71,Inferior Frontal Gyrus
GPM6A,72,Inferior Frontal Gyrus
ZEB2,73,Inferior Frontal Gyrus
SHTN1,74,Inferior Frontal Gyrus
APBB2,75,Inferior Frontal Gyrus
LRRC4C,76,Inferior Frontal Gyrus
TNR,77,Inferior Frontal Gyrus
SLC1A2,78,Inferior Frontal Gyrus
WWOX,79,Inferior Frontal Gyrus
NCAM1,80,Inferior Frontal Gyrus
MAP4K4,81,Inferior Frontal Gyrus
LRMDA,82,Inferior Frontal Gyrus
CTNNA2,83,Inferior Frontal Gyrus
NCKAP5,84,Inferior Frontal Gyrus
PITPNC1,85,Inferior Frontal Gyrus
FRMD4A,86,Inferior Frontal Gyrus
THSD4,87,Inferior Frontal Gyrus
ANKS1B,88,Inferior Frontal Gyrus
PDE8A,89,Inferior Frontal Gyrus
OPCML,90,Inferior Frontal Gyrus
RBMS3,91,Inferior Frontal Gyrus
POLR2F,92,Inferior Frontal Gyrus
LIMCH1,93,Inferior Frontal Gyrus
TJP1,94,Inferior Frontal Gyrus
RBM25,95,Inferior Frontal Gyrus
EXOC6B,96,Inferior Frontal Gyrus
TTLL7,97,Inferior Frontal Gyrus
SGIP1,98,Inferior Frontal Gyrus
PDE1C,99,Inferior Frontal Gyrus
CTNND2,100,Inferior Frontal Gyrus
MALAT1,1,Inferior Parietal Lobule
PCDH9,2,Inferior Parietal Lobule
IL1RAPL1,3,Inferior Parietal Lobule
RNF220,4,Inferior Parietal Lobule
CTNNA3,5,Inferior Parietal Lobule
QKI,6,Inferior Parietal Lobule
PPP2R2B,7,Inferior Parietal Lobule
DLG2,8,Inferior Parietal Lobule
PDE4B,9,Inferior Parietal Lobule
MAGI2,10,Inferior Parietal Lobule
NRXN3,11,Inferior Parietal Lobule
SLC44A1,12,Inferior Parietal Lobule
ST18,13,Inferior Parietal Lobule
FRMD5,14,Inferior Parietal Lobule
SIK3,15,Inferior Parietal Lobule
DST,16,Inferior Parietal Lobule
FMNL2,17,Inferior Parietal Lobule
TRIM2,18,Inferior Parietal Lobule
SLC24A2,19,Inferior Parietal Lobule
CADM2,20,Inferior Parietal Lobule
PTPRG,21,Inferior Parietal Lobule
PTPRD,22,Inferior Parietal Lobule
LSAMP,23,Inferior Parietal Lobule
PIP4K2A,24,Inferior Parietal Lobule
ELMO1,25,Inferior Parietal Lobule
MACF1,26,Inferior Parietal Lobule
ZBTB20,27,Inferior Parietal Lobule
NKAIN2,28,Inferior Parietal Lobule
NEAT1,29,Inferior Parietal Lobule
RORA,30,Inferior Parietal Lobule
DLC1,31,Inferior Parietal Lobule
ANK3,32,Inferior Parietal Lobule
NTM,33,Inferior Parietal Lobule
